1 0
100 11 0 1 
10 10
1 1 0    0 1 2 11    0 1 0    0 1 0    0 1 0    0 1 0    0 1 0    0 1 0    0 1 0    0 1 2 79    
0 1 2 65    0 1 0    0 1 0    0 1 0    0 1 0    0 1 0    0 1 0    0 1 0    0 1 0    0 1 0    
0 1 0    0 1 0    0 1 0    0 1 1    0 1 2 59    0 1 2 39    0 1 2 65    0 1 1    0 1 0    0 1 0    
0 1 0    0 1 0    0 1 1    0 1 0    0 1 0    0 1 0    0 1 0    0 1 0    0 1 2 32    0 1 0    
0 1 0    0 1 0    0 1 1    0 1 0    0 1 2 68    0 1 2 68    0 1 2 61    0 1 0    0 1 1    0 1 0    
0 1 0    0 1 0    0 1 2 57    0 1 0    0 1 2 66    0 1 1    0 1 2 53    0 1 0    0 1 2 7    0 1 0    
0 1 0    0 1 0    0 1 2 42    0 1 0    0 1 2 60    0 1 2 82    0 1 2 53    0 1 0    0 1 2 33    0 1 0    
0 1 0    0 1 0    0 1 2 55    0 1 0    0 1 0    0 1 0    0 1 0    0 1 0    0 1 1    0 1 0    
0 1 0    0 1 0    0 1 0    0 1 2 34    0 1 2 64    0 1 1    0 1 2 94    0 1 1    0 1 0    0 1 0    
0 1 1    0 1 0    0 1 0    0 1 0    0 1 0    0 1 0    0 1 0    0 1 0    0 1 0    2 1 0    
1 8 6 
